EstacaoCodigo;NivelConsistencia;Data;Media;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31
36160000;1;01/02/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
36160000;1;01/01/2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/12/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/11/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/10/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/09/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/08/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/07/2014;0.022;0.672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/06/2014;2.558;16.631;9.97;7.383;5.495;4.348;3.737;2.84;2.84;2.522;2.088;1.826;1.702;1.472;1.472;1.364;1.261;1.261;1.069;0.897;0.742;0.742;0.742;0.672;0.672;0;0;0.897;0.742;0.672;0.672;
36160000;2;01/05/2014;8.167;9.97;8.617;9.279;13.042;9.97;8.944;7.383;6;5.252;4.787;4.138;3.737;3.545;3.181;2.84;2.84;2.678;2.84;2.678;2.522;2.227;2.227;1.954;1.954;1.702;1.702;1.472;1.472;2.227;78.762;43.238
36160000;2;01/04/2014;48.856;79.999;61.244;103.717;87.601;63.466;121.031;51.682;33.639;21.883;16.153;12.631;35.903;55.843;113.673;44.982;28.036;23.04;17.117;13.042;13.89;17.612;14.77;51.682;164.265;95.508;46.768;28.036;19.677;16.153;12.631;
36160000;2;01/03/2014;52.331;3.934;3.545;3.007;2.678;2.84;112.226;68.016;39.875;42.382;39.061;43.238;53.744;110.787;85.033;68.016;43.238;35.138;81.245;305.045;226.887;83.762;44.105;34.384;25.463;18.115;11.831;9.62;6.532;5.744;4.787;7.986
36160000;2;01/02/2014;42.86;0;0;0;0;0;11.443;5.744;3.36;3.934;48.655;30.065;176.422;198.155;172.91;167.699;61.244;32.18;25.463;76.314;63.466;44.982;24.233;16.631;11.443;8.617;6.809;5.744;4.564;;;
36160000;2;01/01/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/12/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/11/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/10/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36160000;2;01/09/2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/08/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/07/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36160000;2;01/06/2013;0.047;0.742;0.672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
36160000;2;01/05/2013;3.124;1.472;1.261;1.069;0.897;0.897;0.817;0.742;0.897;24.844;17.612;12.227;6.263;4.348;3.181;2.372;1.954;1.584;1.702;1.472;1.261;1.069;0.897;0.817;0.817;0.742;0.742;0.742;1.261;1.069;0.981;0.817
36160000;2;01/04/2013;1.444;4.348;4.138;3.36;2.372;1.826;1.472;1.472;1.472;1.826;1.472;1.261;1.163;0.817;0.672;0;0;0;0;0;0;0;0;0;0;0.897;1.364;5.744;3.181;2.522;1.954;
36160000;2;01/03/2013;0.135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.227;1.954
36160000;2;01/02/2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
